Code Class,Name,Accession,Normal 1,Normal 2,Tumor 1,Tumor 2
Endogenous1,mmu-miR-688|0,MIMAT0003467,10,6,6,6
Endogenous1,mmu-miR-1906|0,MIMAT0007872,8,7,9,3
Endogenous1,mmu-miR-129-3p|0,MIMAT0000544,7,14,27,5
Endogenous1,mmu-miR-669g|0,MIMAT0005832,11,11,10,1
Endogenous1,mmu-miR-2145|0,MIMAT0011221,4,6,7,2
Endogenous1,mmu-miR-142-5p|0,MIMAT0000154,46,57,43,33
Endogenous1,mmu-miR-3474|0,MIMAT0015646,5,6,15,11
Endogenous1,mmu-miR-320|0,MIMAT0000666,9,2,19,9
Endogenous1,mmu-miR-1943|0,MIMAT0009408,12,12,10,11
Endogenous1,mmu-miR-1961|0,MIMAT0009434,11,10,9,5
Endogenous1,mmu-miR-202-5p|0,MIMAT0004546,23,20,20,18
Endogenous1,mmu-miR-3475|0,MIMAT0015219,8,7,5,6
Endogenous1,mmu-miR-150|0,MIMAT0000160,76,45,362,93
Endogenous1,mmu-miR-669i|0,MIMAT0005840,10,25,19,16
Endogenous1,mmu-miR-448|0,MIMAT0001533,13,14,11,8
Endogenous1,mmu-miR-154|0,MIMAT0000164,117,119,364,170
Endogenous1,mmu-miR-465a-3p|0,MIMAT0004217,4,9,18,8
Endogenous1,mmu-miR-1929|0,MIMAT0009392,18,17,20,11
Endogenous1,mmu-miR-1967|0,MIMAT0009440,14,14,13,7
Endogenous1,mmu-miR-883a-5p|0,MIMAT0004848,6,1,8,4
Endogenous1,mmu-miR-7b|0,MIMAT0000678,12,8,28,11
Endogenous1,mmu-miR-322|0,MIMAT0000548,16,17,121,33
Endogenous1,mmu-miR-337-3p|0,MIMAT0000578,9,5,15,8
Endogenous1,mmu-miR-690|0,MIMAT0003469,26,14,31,10
Endogenous1,mmu-miR-203|0,MIMAT0000236,86,71,96,34
Endogenous1,mmu-miR-125a-3p|0,MIMAT0004528,62,60,86,23
Endogenous1,mmu-miR-27b|0,MIMAT0000126,22,21,117,41
Endogenous1,mmu-miR-423-3p|0,MIMAT0003454,24,34,128,53
Endogenous1,mmu-miR-674|0,MIMAT0003740,12,18,55,27
Endogenous1,mmu-miR-449a|0,MIMAT0001542,4,11,9,5
Endogenous1,mmu-miR-468|0,MIMAT0002109,15,21,30,17
Endogenous1,mmu-miR-542-3p|0,MIMAT0003172,7,9,12,4
Endogenous1,mmu-miR-1946a|0,MIMAT0009412,6,11,19,8
Endogenous1,mmu-miR-207|0,MIMAT0000240,4,7,14,5
Endogenous1,mmu-miR-125b-3p|0,MIMAT0004669,10,11,11,4
Endogenous1,mmu-miR-1968|0,MIMAT0009441,7,6,7,8
Endogenous1,mmu-miR-694|0,MIMAT0003474,7,5,10,5
Endogenous1,mmu-miR-34b-5p|0,MIMAT0000382,15,12,22,10
Endogenous1,mmu-miR-883b-5p|0,MIMAT0004850,11,13,11,11
Endogenous1,mmu-miR-682|0,MIMAT0003459,10,14,11,11
Endogenous1,mmu-miR-881|0,MIMAT0004846,6,10,18,5
Endogenous1,mmu-miR-383|0,MIMAT0000748,2,14,12,8
Endogenous1,mmu-miR-291a-3p|0,MIMAT0000368,8,5,11,5
Endogenous1,mmu-miR-134|0,MIMAT0000146,6,5,12,10
Endogenous1,mmu-miR-186|0,MIMAT0000215,9,6,5,6
Endogenous1,mmu-miR-423-5p|0,MIMAT0004825,34,24,139,66
Endogenous1,mmu-miR-1898|0,MIMAT0007875,12,14,12,6
Endogenous1,mmu-miR-497|0,MIMAT0003453,14,18,141,42
Endogenous1,mmu-miR-700|0,MIMAT0003490,6,10,11,8
Endogenous1,mmu-miR-760|0,MIMAT0003898,19,12,36,12
Endogenous1,mmu-miR-1903|0,MIMAT0007868,20,12,10,9
Endogenous1,mmu-miR-1928|0,MIMAT0009391,13,11,15,6
Endogenous1,mmu-miR-467f|0,MIMAT0005846,17,15,29,11
Endogenous1,mmu-miR-200b|0,MIMAT0000233,35,45,1331,585
Endogenous1,mmu-miR-124|0,MIMAT0000134,25,18,37,14
Endogenous1,mmu-miR-1956|0,MIMAT0009428,5,7,11,4
Endogenous1,mmu-miR-30b|0,MIMAT0000130,509,492,1979,548
Endogenous1,mmu-miR-224|0,MIMAT0000671,12,10,13,8
Endogenous1,mmu-miR-873|0,MIMAT0004936,14,16,8,6
Endogenous1,mmu-miR-193b|0,MIMAT0004859,94,87,262,169
Endogenous1,mmu-miR-30d|0,MIMAT0000515,174,167,1088,413
Endogenous1,mmu-miR-99a|0,MIMAT0000131,165,126,892,438
Endogenous1,mmu-miR-130b|0,MIMAT0000387,29,27,51,29
